age,workclass,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income,region
74,State-gov,16,Never-married,Prof-specialty,Other-relative,White,Female,20,>50K,United States
45,Private,16,Divorced,Prof-specialty,Unmarried,Black,Female,35,>50K,United States
38,Self-emp-not-inc,15,Never-married,Prof-specialty,Not-in-family,White,Male,45,>50K,United States
52,Private,13,Widowed,Other-service,Not-in-family,White,Female,20,>50K,United States
32,Private,14,Separated,Exec-managerial,Not-in-family,White,Male,55,>50K,United States
46,Private,15,Divorced,Prof-specialty,Not-in-family,White,Male,40,>50K,United States
45,Private,7,Divorced,Transport-moving,Not-in-family,White,Male,76,>50K,United States
57,Private,14,Divorced,Exec-managerial,Not-in-family,White,Male,50,>50K,United States
34,Private,13,Separated,Sales,Not-in-family,White,Male,50,>50K,United States
37,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,>50K,United States
21,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
33,Private,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,<=50K,Latin America
49,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K,Europe
37,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,50,>50K,United States
38,Private,6,Never-married,Prof-specialty,Not-in-family,White,Male,90,>50K,United States
23,Private,10,Separated,Other-service,Not-in-family,White,Male,40,>50K,United States
59,Self-emp-inc,6,Widowed,Exec-managerial,Unmarried,White,Female,50,>50K,United States
52,Private,15,Divorced,Exec-managerial,Not-in-family,White,Male,60,>50K,United States
51,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,50,>50K,United States
60,Self-emp-not-inc,9,Never-married,Exec-managerial,Not-in-family,Black,Male,50,>50K,United States
63,Federal-gov,16,Divorced,Exec-managerial,Not-in-family,White,Female,60,>50K,United States
53,Private,9,Never-married,Sales,Not-in-family,White,Male,48,>50K,United States
51,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,>50K,United States
37,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,>50K,United States
54,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,40,>50K,United States
44,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,50,>50K,United States
43,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,>50K,United States
51,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,40,>50K,United States
43,Private,14,Divorced,Prof-specialty,Unmarried,White,Female,40,>50K,United States
48,Private,13,Married-spouse-absent,Sales,Unmarried,White,Female,70,>50K,United States
73,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,<=50K,Asia
40,Self-emp-not-inc,15,Never-married,Prof-specialty,Not-in-family,White,Male,45,>50K,United States
50,Private,9,Widowed,Sales,Not-in-family,White,Female,72,>50K,United States
51,State-gov,11,Divorced,Tech-support,Not-in-family,White,Male,39,>50K,United States
42,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,>50K,United States
39,Private,14,Never-married,Sales,Not-in-family,White,Male,45,>50K,United States
32,Private,13,Never-married,Exec-managerial,Other-relative,White,Male,50,>50K,United States
53,Private,10,Separated,Craft-repair,Not-in-family,White,Male,45,>50K,United States
40,Local-gov,10,Never-married,Protective-serv,Not-in-family,White,Male,40,>50K,United States
38,Private,13,Never-married,Sales,Not-in-family,White,Female,45,>50K,United States
33,Private,11,Separated,Craft-repair,Not-in-family,White,Male,42,>50K,United States
43,Private,12,Divorced,Craft-repair,Not-in-family,White,Male,70,>50K,United States
